1	44	316	26	1	24	1	0.018818656418844122	0.06834977565304011	0.0054346500328836984	0.014907006250101829	0.000222218835340575	R
2	45	342	32	1	24	1	0.018835102444651627	0.09115456838045222	0.0041759365080598675	0.01614524756980347	0.00026066901909024484	R
3	45	338	29	1	24	1	0.017373993609984185	0.07734233652759051	0.004464311184956856	0.01600472848803041	0.00025615133397557217	1
4	42	326	26	1	22	1	0.02148110445681172	0.06408657833573213	0.0046908131713400015	0.014574300554248321	0.00021241023664556294	1
5	45	309	26	1	20	1	0.01731756706413466	0.07909858649947574	0.005430873034415973	0.016327184327128413	0.00026657694805202765	1
6	45	321	27	1	19	1	0.019649745461936093	0.07495971682755474	0.0041495080211361056	0.016282045956371585	0.00026510502052539623	1
7	45	329	29	1	26	1	0.018931441862887612	0.08409662560423009	0.004975796991571663	0.017744703423868663	0.0003148744996010562	1
8	45	312	28	1	24	1	0.01381226523922657	0.08007749488292014	0.0043461615449041585	0.017321945716912236	0.00030004980341965414	1
9	45	327	27	1	22	1	0.018011789114240926	0.07969759700792929	0.004346469041190303	0.015679900455038268	0.0002458592782799093	1
10	45	328	26	1	26	1	0.019185927932773867	0.08794918085501725	0.004437532205863632	0.016545076548513282	0.0002737395579961642	1
11	45	350	31	1	27	1	0.018086282152829956	0.08445175834630032	0.004553333421770998	0.01617919448180516	0.00026176633408007456	1
12	44	317	33	1	26	1	0.015691071362933427	0.1042765294024941	0.004051717715319013	0.019382185873281162	0.0003756691292264198	1
13	45	312	25	1	20	1	0.01760869346391206	0.08392672572126483	0.00473983105058224	0.01656547118087525	0.0002744148354444085	1
14	45	315	26	1	24	1	0.01578103157994039	0.08176251123485226	0.004537799450041232	0.016712943926925027	0.00027932249470454017	1
15	42	333	30	1	26	1	0.02013897786212179	0.09233193463712457	0.004673745148330435	0.017596961410363127	0.00030965305087780903	1
16	45	334	29	1	26	1	0.018644600547399737	0.08532642747319327	0.004205142397470055	0.01626140278691748	0.00026443322059836754	1
17	45	325	28	1	26	1	0.015390275059216687	0.07726581939796696	0.004413363725745668	0.016275551770967074	0.0002648935854494295	1
18	45	322	27	1	25	1	0.014310242411707592	0.06996766727480223	0.004786950081986269	0.01693277991820843	0.0002867190357584827	1
19	45	339	31	1	30	1	0.0185692595459606	0.08548183427335455	0.004300056139423862	0.01621300863973568	0.00026286164915214374	1
20	45	327	29	1	29	1	0.01887221808073534	0.08748760265724301	0.00427695459259988	0.016560716222664636	0.00027425732180762766	1
21	45	320	28	1	24	1	0.018219748169680937	0.07578361101581674	0.004468435886513926	0.015469394389727774	0.00023930216278494112	1
22	44	326	26	1	24	1	0.01726121571707323	0.06838553659653882	0.004686310412849574	0.015045005313498064	0.00022635218488318502	1
23	45	326	33	1	27	1	0.017945318683133763	0.0901921864350377	0.004056861834000988	0.016824907047761167	0.00028307749716580333	1
24	45	304	27	1	24	1	0.020991576376576747	0.0784124067449476	0.004632171981309841	0.01623817230818214	0.0002636782399102133	1
25	42	317	29	1	23	1	0.01852781559419785	0.08421150214340381	0.005384759797275841	0.017158199340218328	0.00029440380459866866	1
26	45	330	27	1	24	1	0.017047886363528365	0.06782423649381528	0.00470554228845647	0.015882700920260603	0.00025226018852244703	1
27	45	329	30	1	27	1	0.01677969736399491	0.08651391662803166	0.004717238462387327	0.01601508532569129	0.00025648295798917257	1
28	45	315	33	1	26	1	0.02110419857645025	0.09779765909239056	0.004242152690957864	0.016949581293506013	0.00028728830602516893	1
29	45	324	29	1	25	1	0.01682286595665028	0.07990637629896195	0.004607116344164144	0.015971534742214088	0.00025508992202175166	1
30	45	329	28	1	25	1	0.01844966534779568	0.07723929836668417	0.004378864894465099	0.015937364709346914	0.0002539995938787364	1
31	45	347	34	1	26	1	0.015612451361600091	0.08979546937388505	0.004604529729493002	0.016729939157597424	0.00027989086421691155	1
32	45	346	31	1	27	1	0.0181024468715333	0.09106146992312045	0.004369874148998601	0.01619572688084997	0.0002623015691990863	1
